function_call,dictionary
get_exchange_rate,"{'name': 'get_exchange_rate', 'description': 'Get the exchange rate between two currencies', 'parameters': {'type': 'object', 'properties': {'base_currency': {'type': 'string', 'description': 'The currency to convert from'}, 'target_currency': {'type': 'string', 'description': 'The currency to convert to'}}, 'required': ['base_currency', 'target_currency']}}"
get_news_headlines,"{'name': 'get_news_headlines', 'description': 'Get the latest news headlines', 'parameters': {'type': 'object', 'properties': {'country': {'type': 'string', 'description': 'The country for which to fetch news'}}, 'required': ['country']}}"
generate_password,"{'name': 'generate_password', 'description': 'Generate a random password', 'parameters': {'type': 'object', 'properties': {'length': {'type': 'integer', 'description': 'The length of the password'}, 'include_symbols': {'type': 'boolean', 'description': 'Whether to include symbols in the password'}}, 'required': ['length']}}"
create_task,"{'name': 'create_task', 'description': 'Create a new task in a task management system', 'parameters': {'type': 'object', 'properties': {'title': {'type': 'string', 'description': 'The title of the task'}, 'due_date': {'type': 'string', 'format': 'date', 'description': 'The due date of the task'}, 'priority': {'type': 'string', 'enum': ['low', 'medium', 'high'], 'description': 'The priority of the task'}}, 'required': ['title', 'due_date', 'priority']}}"
calculate_median,"{'name': 'calculate_median', 'description': 'Calculate the median of a list of numbers', 'parameters': {'type': 'object', 'properties': {'numbers': {'type': 'array', 'items': {'type': 'number'}, 'description': 'A list of numbers'}}, 'required': ['numbers']}}"
calculate_loan_payment,"{'name': 'calculate_loan_payment', 'description': 'Calculate the monthly payment for a loan', 'parameters': {'type': 'object', 'properties': {'principal': {'type': 'number', 'description': 'The principal amount of the loan'}, 'interest_rate': {'type': 'number', 'description': 'The annual interest rate for the loan'}, 'loan_term': {'type': 'integer', 'description': 'The term of the loan in years'}}, 'required': ['principal', 'interest_rate', 'loan_term']}}"
convert_temperature,"{'name': 'convert_temperature', 'description': 'Convert temperature from one unit to another', 'parameters': {'type': 'object', 'properties': {'temperature': {'type': 'number', 'description': 'The temperature value'}, 'from_unit': {'type': 'string', 'description': 'The unit to convert from'}, 'to_unit': {'type': 'string', 'description': 'The unit to convert to'}}, 'required': ['temperature', 'from_unit', 'to_unit']}}"
get_current_date,"{'name': 'get_current_date', 'description': 'Get the current date', 'parameters': {}}"
get_movie_details,"{'name': 'get_movie_details', 'description': 'Get details of a movie', 'parameters': {'type': 'object', 'properties': {'movie_title': {'type': 'string', 'description': 'The title of the movie'}}, 'required': ['movie_title']}}"
calculate_tip,"{'name': 'calculate_tip', 'description': 'Calculate the tip amount for a bill', 'parameters': {'type': 'object', 'properties': {'bill_amount': {'type': 'number', 'description': 'The total bill amount'}, 'tip_percentage': {'type': 'number', 'description': 'The percentage of tip'}}, 'required': ['bill_amount', 'tip_percentage']}}"
